,Id,name,handle,indegree,outdegree,betweenesscentrality,eigencentrality
0,1061925196330762241,Jessica Franks,JessicaEFranks,6,12,28.437697999999997,0.783224
1,998378092157550592,Hannah Mieczkowski,hnmiecz,6,6,1.4234129999999998,0.746596
2,931399450655727616,Naseem Ahmadpour,NaseemAhmadpour,5,5,23.183332999999998,0.42165600000000003
3,4393026435,Nastasia Griffioen,Gryphire,1,2,0.9444440000000001,0.1438
4,3282646831,Evelyn Gosnell,evelyngosnell,1,0,0.0,0.075764
5,3001017796,Leyla Dewitz,leyladewitz,2,2,7.919444,0.220906
6,2896251154,Alex Beattie,AmdBeattie,6,8,22.619444,0.747995
7,2596578522,Niklas Johannes,NiklasJohannes,6,5,5.45,0.667267
8,2246014224,Matthew J. Dennis,mtwjmsdns,6,7,25.513492000000003,0.705538
9,2189138839,Mariarosaria Taddeo,RosariaTaddeo,5,2,12.110714,0.570824
10,561621177,Rafael Calvo,Rafael_A_Calvo,9,6,36.202778,0.7199720000000001
11,550729991,Ulrike Gretzel,UlrikeGretzel,1,1,0.0,0.152884
12,495342509,mariek vanden abeele,mariek_vda,8,9,22.121032,0.966189
13,415293130,Dorian Peters,dorian_peters,7,12,78.188889,0.621276
14,409107187,Kosta Kushlev PhD,KushlevPhD,4,3,23.733333,0.484217
15,317194370,Claudia DaudÃ©n Roquet,cldauden,1,4,0.0,0.098745
16,277421250,Christopher Burr,chrisdburr,6,5,15.833332999999998,0.611223
17,216544114,Tobias Dienlin,tdienlin,7,0,0.0,0.84446
18,164414460,Minh Hao Nguyen,minh_hao,6,8,5.399603,0.746596
19,146792294,Greg Wadley,GregWadley,4,2,1.011111,0.39971799999999996
20,105912240,Jim Steyer,jimsteyer,1,0,0.0,0.098745
21,92382222,Dr Marta E. Cecchinato ðŸ‡ªðŸ‡º,martacecchinato,5,4,16.335714000000003,0.46271999999999996
22,45162945,Moritz BÃ¼chi,MoritzBuchi,10,14,120.371032,1.0
23,20095894,Tyler Shores,tylershores,9,9,82.20119,0.934435
24,14754639,Kai Lukoff,klukoff,4,0,0.0,0.44431099999999996
